season,week,start_date,home_team,away_team,venue,conference_game,wx_temp_f,wx_wind_mph,wx_precip_mm,predicted_total_points,predicted_home_points,predicted_away_points,wx_adjust_total,predicted_win_margin,prediction_confidence,weather_temp,weather_wind,weather_adjustment,enrichment_failed,weather_debug_reason,home_conference,away_conference,start_date_api,neutral_site
2025,2,2025-09-07 00:00:00+00:00,Montana,Central Washington,Washington-Grizzly Stadium,False,92.84,3.106855,0.0,48.44422125535006,31.70091812310413,21.76648166329538,0.0,9.934436459808758,medium,,,,False,,,,,
2025,2,2025-09-07 00:00:00+00:00,Dakota State University,Nebraska Wesleyan,Trojan Stadium,False,74.84,5.2816535,0.0,47.4638455176064,26.28505643631919,19.215602554138574,-0.025348815,7.069453882180618,medium,,,,False,,,,,
2025,2,2025-09-07 00:00:00+00:00,Lake Forest College,Claremont-Mudd-Scripps College,,False,53.6,0.8077823000000001,0.0,53.10438271996544,28.37321442825187,20.87922295470292,-0.6399999999999999,7.493991473548949,medium,,,,False,,,,,
2025,2,2025-09-07 00:00:00+00:00,UNLV,UCLA,Allegiant Stadium,False,101.12,1.4291532999999998,0.0,52.639433551403705,24.609285291014817,28.99342691411712,0.0,-4.384141623102298,medium,82.54,14.97,-1.5,False,,,,,
2025,2,2025-09-07 00:00:00+00:00,Louisiana,McNeese,Cajun Field,False,84.2,4.6602825,0.0,55.51903450211311,35.89115303248801,18.60579493716233,0.0,17.285358095325687,medium,63.14,9.37,-0.66,False,,,,,
2025,2,2025-09-07 00:00:00+00:00,Texas A&M-Kingsville,Lincoln (CA),Javelina Stadium,False,91.58,16.217783100000002,0.0,33.7511697726133,26.935712903757693,6.295228008496652,-1.0096004790000004,20.64048489526104,medium,,,,False,,,,,
2025,2,2025-09-07 00:00:00+00:00,Midwestern State,Western Colorado,"Memorial Stadium (Wichita Falls, TX)",False,87.08000000000001,8.202097199999999,0.0,48.80911447232043,18.30044199952844,31.53858784857777,-0.2881887479999999,-13.238145849049324,medium,,,,False,,,,,
2025,2,2025-09-07 00:00:00+00:00,Colorado Mesa,Eastern New Mexico,Ralph Stocker Stadium,False,,,,50.35258460596149,25.44623855952636,21.901402682794973,0.0,3.544835876731387,medium,,,,False,,,,,
2025,2,2025-09-07 00:00:00+00:00,Wartburg,Monmouth (IL),Walston-Hoover Stadium,False,69.44,7.3943149,0.2,60.75338341879712,29.37116314618627,30.425913587026944,-0.215488341,-1.0547504408406745,medium,,,,False,,,,,
2025,2,2025-09-07 01:00:00+00:00,Nebraska-Kearney,Chadron St,Ron & Carol Cope Stadium at Foster Field,False,,,,46.34036816031773,23.22384295759879,22.54419052210592,0.0,0.6796524354928728,medium,,,,False,,,,,
2025,2,2025-09-07 01:00:00+00:00,San Diego,Southern Utah,Torero Stadium,False,82.75999999999999,8.326371400000001,0.0,53.90610951833495,31.87614197908016,17.9500420494461,-0.2993734260000001,13.92609992963406,medium,,,,False,,,,,
2025,2,2025-09-07 01:00:00+00:00,New Mexico State,Tulsa,Aggie Memorial Stadium,False,78.62,26.4082675,0.0,57.949252007017805,26.24429538696453,30.01477370201068,-1.926744075,-3.770478315046141,medium,91.65,0.0,-0.0,True,no_location,,,,
2025,2,2025-09-07 01:00:00+00:00,UTEP,UT Martin,Sun Bowl,False,78.25999999999999,12.8002426,0.1,54.62203336259636,16.24115842631538,36.23929137913523,-0.7020218340000001,-19.99813295281985,medium,92.5,8.01,-0.45,True,no_location,,,,
2025,2,2025-09-07 02:00:00+00:00,Arizona,Weber State,Arizona Stadium,False,98.78,4.2874599,0.0,51.43720913847553,19.945487259111754,23.60637565674224,0.0,-3.66088839763048,medium,96.84,7.25,-0.34,False,,,,,
2025,2,2025-09-07 02:00:00+00:00,Chapman,Hardin-Simmons,Ernie Chapman Stadium,False,,,,51.43374654383782,21.52092840880449,32.48555182432979,0.0,-10.964623415525296,medium,,,,False,,,,,
2025,2,2025-09-07 02:00:00+00:00,Redlands,NEWBERG,Ted Runner Stadium,False,98.78,14.2293959,0.0,44.69448952547043,13.275615872090942,27.409749329587868,-0.830645631,-14.134133457496928,medium,,,,False,,,,,
2025,2,2025-09-07 02:00:00+00:00,Phoenix,Fort Lewis,ACU Football Field,False,,,,49.53062225188793,42.32314180522069,9.421540020164992,0.0,32.9016017850557,medium,,,,False,,,,,
2025,2,2025-09-07 02:15:00+00:00,Washington State,San Diego State,Gesa Field,False,96.08,1.4291532999999998,0.0,45.96147021958016,24.666941027568456,21.52593746338783,0.0,3.1410035641806253,medium,79.83,5.99,-0.15,True,no_location,,,,
2025,2,2025-09-07 02:15:00+00:00,BYU,Stanford,LaVell Edwards Stadium,False,90.14,3.7903631,0.0,46.40627083774776,24.64941097284788,19.81834148473955,0.0,4.83106948810833,medium,83.57,5.06,-0.01,False,,,,,
2025,2,2025-09-07 03:00:00+00:00,Washington,UC Davis,Husky Stadium,False,80.42,6.2758471,0.0,56.53225094508145,33.21286298142101,17.705266139592062,-0.114826239,15.507596841828946,medium,68.05,12.66,-1.15,False,,,,,
2025,2,2025-09-07 03:59:00+00:00,Hawai'i,Sam Houston,Clarence T.C. Ching Athletics Complex,False,89.06,5.2195164,0.0,45.61335013539913,14.927540062434275,25.298940608401345,-0.0197564759999999,-10.371400545967068,medium,49.26,2.26,-0.11,False,,,,,
2025,3,2025-09-11 22:30:00+00:00,West Virginia Wesleyan,Ohio Dominican,Cebe Ross Field,False,,,,40.003707941185965,12.691265754333635,26.829632030034794,0.0,-14.13836627570116,medium,,,,False,,,,,
2025,3,2025-09-11 23:30:00+00:00,Wake Forest,NC State,Allegacy Federal Credit Union Stadium,True,76.1,7.3321778,0.0,48.55764293707492,22.046126234481605,23.70071080752816,-0.209896002,-1.6545845730465487,medium,69.37,6.17,-0.18,False,,,,,
2025,3,2025-09-12 00:00:00+00:00,Central Missouri,CSU Pueblo,Audrey J. Walton Stadium at Vernon Kennedy Field,False,,,,65.11973799000522,30.6789007087479,35.90373084015656,0.0,-5.224830131408663,medium,,,,False,,,,,
2025,3,2025-09-12 00:00:00+00:00,Clark Atlanta,Fort Valley State,CAU Panther Stadium,True,,,,56.870747162242175,22.370436764151385,35.45491414667919,0.0,-13.0844773825278,medium,,,,False,,,,,
2025,3,2025-09-12 00:00:00+00:00,Harding University,Southwestern Oklahoma State,First Security Stadium,True,88.7,0.2485484,0.0,66.99849658920527,58.800126636529946,11.500087791250282,0.0,47.30003884527967,medium,,,,False,,,,,
2025,3,2025-09-12 00:00:00+00:00,Arkansas Tech,Northwestern Oklahoma State,Thone Stadium at Buerkle Field,True,,,,50.63760287326775,30.40125201706436,15.64248293830291,0.0,14.758769078761452,medium,,,,False,,,,,
2025,3,2025-09-12 04:00:00+00:00,UCLA,New Mexico,Rose Bowl,False,75.2,7.6428633,0.0,54.07481160122251,34.38130418249673,20.54268503293333,-0.237857697,13.838619149563392,medium,65.64,3.51,-0.0,True,,,,,
2025,3,2025-09-12 04:00:00+00:00,Indiana,Indiana State,"Memorial Stadium (Bloomington, IN)",False,72.14,6.5243955,0.0,53.03240564654353,33.66486059275954,14.162563272006285,-0.1371955949999999,19.50229732075325,medium,57.88,2.44,-0.02,False,,,,,
2025,3,2025-09-12 23:00:00+00:00,Syracuse,Colgate,JMA Wireless Dome,False,67.28,6.2758471,0.0,47.72927293459782,27.583165309407608,15.951544222603944,-0.114826239,11.631621086803666,medium,75.83,10.27,-0.79,False,,,,,
2025,3,2025-09-12 23:30:00+00:00,Houston,Colorado,TDECU Stadium,True,87.8,7.5807262,0.0,53.40522478517812,30.70824055121593,19.443223220908,-0.2322653579999999,11.26501733030793,medium,89.17,10.22,-0.78,False,,,,,
2025,3,2025-09-13 01:00:00+00:00,Arizona,Kansas State,Arizona Stadium,True,98.78,4.2874599,0.0,52.79957036659204,18.39472442737864,28.85034597203844,0.0,-10.4556215446598,medium,86.25,11.43,-0.96,False,,,,,
2025,3,2025-09-13 04:00:00+00:00,North Alabama,Northeastern State,Braly Municipal Stadium,False,80.24000000000001,7.3943149,0.0,44.3536680793435,26.67252382164542,18.214207336115745,-0.215488341,8.458316485529675,medium,,,,False,,,,,
2025,3,2025-09-13 04:00:00+00:00,South Dakota,Northern Colorado,DakotaDome,False,64.22,10.1283473,0.0,48.509404548526135,34.0833846699459,16.46409639799887,-0.461551257,17.619288271947028,medium,,,,False,,,,,
2025,3,2025-09-13 04:00:00+00:00,Sacramento State,Mercyhurst,Hornet Stadium,False,102.02,5.4059277,0.0,57.10784704428313,38.08408134943768,21.29412063090138,-0.036533493,16.789960718536292,medium,,,,False,,,,,
2025,3,2025-09-13 04:00:00+00:00,Nevada,Middle Tennessee,Mackay Stadium,False,90.32,2.9825808,0.0,51.110518653672926,28.377554295940595,25.643712177793283,0.0,2.733842118147312,medium,58.37,1.16,-0.02,False,,,,,
2025,3,2025-09-13 04:00:00+00:00,Montana State,San Diego,Bobcat Stadium,False,84.91999999999999,7.6428633,0.0,53.11630053369503,29.05092932569687,22.37707138569549,-0.237857697,6.673857940001376,medium,,,,False,,,,,
2025,3,2025-09-13 04:00:00+00:00,Idaho,Utah Tech,Kibbie Dome,False,95.72,3.7903631,0.0,63.13842724041289,34.79298016197627,29.502096364859685,0.0,5.290883797116582,medium,,,,False,,,,,
2025,3,2025-09-13 04:00:00+00:00,Long Island University,Sacred Heart,Bethpage Federal Credit Union Stadium,False,,,,50.84127769057774,19.49277601614438,29.900666255931903,0.0,-10.407890239787529,medium,,,,False,,,,,
2025,3,2025-09-13 04:00:00+00:00,Wagner,Marist,Wagner College Stadium,False,,,,46.461061971903405,20.209721659979603,27.221357129596672,0.0,-7.011635469617069,medium,,,,False,,,,,
2025,3,2025-09-13 04:00:00+00:00,Winston-Salem,Lincoln (PA),Bowman Gray Stadium,True,76.64,7.3321778,0.0,49.827078058104846,27.459201977516194,19.96732279558043,-0.209896002,7.491879181935765,medium,,,,False,,,,,
2025,3,2025-09-13 04:00:00+00:00,Ferrum,Shaw,W.B. Adams Stadium,False,,,,49.24917162820413,23.00009597624708,28.16767552138096,0.0,-5.167579545133879,medium,,,,False,,,,,
2025,3,2025-09-13 04:00:00+00:00,American International,Assumption,Ronald J. Abdow Field,True,66.02,2.2990727,0.0,44.454821636686205,15.670714179568195,24.106309263531674,0.0,-8.435595083963477,medium,,,,False,,,,,
2025,3,2025-09-13 04:00:00+00:00,South Carolina,Vanderbilt,Williams-Brice Stadium,True,77.36,5.1573793000000006,0.0,47.57196623933546,29.271191241801493,15.353134247537742,-0.014164137,13.91805699426375,medium,72.88,4.07,-0.0,False,,,,,
2025,3,2025-09-13 04:00:00+00:00,Apprentice School,North Carolina Wesleyan,Apprentice Field,False,72.68,9.8176618,0.0,51.11414436792437,33.010171124555264,16.97053594717581,-0.433589562,16.03963517737945,medium,,,,False,,,,,
2025,3,2025-09-13 04:00:00+00:00,Ole Miss,Arkansas,Vaught-Hemingway Stadium,True,84.74,4.8466938,0.0,48.9112082395622,24.82926443120613,21.150904046832288,0.0,3.678360384373846,medium,80.11,3.13,-0.0,True,,,,,
2025,3,2025-09-13 04:00:00+00:00,Stephen F. Austin,Sul Ross State,Homer Bryce Stadium,False,77.9,3.1689921,0.0,58.21345690780854,34.23741571382492,25.01345156719172,0.0,9.223964146633207,medium,,,,False,,,,,
2025,3,2025-09-13 04:00:00+00:00,Fresno State,Southern,Valley Children's Stadium,False,105.26,6.5865326,0.0,52.1065860688616,31.3781402266572,22.549123834361048,-0.142787934,8.829016392296154,medium,85.24,6.89,-0.28,True,,,,,
2025,3,2025-09-13 04:00:00+00:00,Hawai'i,Portland State,Clarence T.C. Ching Athletics Complex,False,89.06,5.2195164,0.0,59.38365633831419,31.565161306299107,26.15605506384559,-0.0197564759999999,5.409106242453518,medium,54.79,6.69,-0.31,False,,,,,
2025,3,2025-09-13 04:00:00+00:00,UT Rio Grande Valley,Langston University,Robert and Janet Vackar Stadium,False,,,,46.46382809041965,42.725918858182304,6.590449045120042,0.0,36.13546981306226,medium,,,,False,,,,,
2025,3,2025-09-13 04:00:00+00:00,South Dakota State,Drake,Dana J. Dykhouse Stadium,False,69.62,6.648669699999999,1.3,51.20655937426434,33.8580036719627,12.496659618480392,-0.1483802729999999,21.361344053482306,medium,,,,False,,,,,
2025,3,2025-09-13 04:00:00+00:00,Grambling,Kentucky State,Eddie Robinson Stadium,False,,,,48.38561377670355,28.043544781779,19.04944671624405,0.0,8.994098065534953,medium,,,,False,,,,,
2025,3,2025-09-13 04:00:00+00:00,Holy Cross,Rhode Island,Fitton Field,False,,,,56.346963363880256,36.92848105188903,21.051706488710657,0.0,15.876774563178373,medium,,,,False,,,,,
2025,3,2025-09-13 04:00:00+00:00,Central Connecticut,St. Francis (PA),Arute Field,True,70.7,2.3612098,0.0,50.81225820227143,22.02217502979793,29.79101263514469,0.0,-7.768837605346754,medium,,,,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Anna Maria College,Framingham State,Caparso Field,False,,,,55.173627483053686,34.84317378580469,17.933219265384974,0.0,16.909954520419713,medium,,,,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Temple,Oklahoma,Lincoln Financial Field,False,75.74000000000001,7.3321778,0.0,52.39566375300732,12.580362204831884,38.32407234193034,-0.209896002,-25.743710137098454,medium,69.87,4.61,-0.0,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Nebraska,Houston Christian,"Memorial Stadium (Lincoln, NE)",False,63.68,12.9866539,1.8,54.11865454993554,29.337593187737053,20.66919541954737,-0.7187988510000001,8.668397768189681,medium,59.32,1.01,-0.01,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Northwestern,Oregon,Lanny and Sharon Martin Stadium,True,72.14,6.21371,0.0,46.277343399922586,10.793919460850164,37.74660014025211,-0.1092338999999999,-26.95268067940195,medium,70.21,9.22,-0.63,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Maryland,Towson,SECU Stadium,False,73.75999999999999,3.6039518,0.0,45.442910345010176,20.70491987327925,23.61642317694493,0.0,-2.9115033036656754,medium,58.84,5.53,-0.09,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Michigan,Central Michigan,Michigan Stadium,False,71.78,9.0098795,0.0,50.42650256781588,34.091731671816646,14.454934964797005,-0.360889155,19.63679670701964,medium,96.84,7.25,-0.34,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Virginia,William & Mary,Scott Stadium,False,70.88,4.5981454,0.0,40.14351148711378,19.07194494450696,22.526034644531432,0.0,-3.454089700024472,medium,47.98,0.0,-0.12,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Georgia Tech,Clemson,Bobby Dodd Stadium,True,82.22,9.320565,0.0,49.337946310751626,10.636004630608117,36.35852898927439,-0.38885085,-25.72252435866627,medium,81.52,5.35,-0.05,True,,,,,
2025,3,2025-09-13 16:00:00+00:00,Eastern University,Reading,O'Hara Field,True,66.92,2.0505243,0.0,45.71009178733112,26.47807339314441,18.80045102840603,0.0,7.6776223647383794,medium,,,,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Greensboro College,Roanoke College,Jamieson Stadium,False,73.22,5.716613199999999,0.0,45.69617554101629,16.159769126255387,29.848121200670324,-0.0644951879999999,-13.688352074414937,medium,,,,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Salve Regina,Western New England,Toppa Field,False,,,,55.126201212608905,23.70757477411608,28.95563250914777,0.0,-5.248057735031686,medium,,,,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Endicott College,Muhlenberg,Hempstead Stadium,False,71.24000000000001,10.0040731,0.0,55.36318669279095,30.258723499643377,24.873158841399533,-0.4503665789999999,5.385564658243844,medium,,,,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Buffalo State,Hartwick,Coyer Field,False,71.24000000000001,6.4622584000000005,0.0,40.51648603543574,21.907746382884685,17.18164250697425,-0.131603256,4.726103875910436,medium,,,,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Misericordia,Albright,Mangelsdorf Field,True,,,,38.57233899983174,22.16193098275393,13.978842432243887,0.0,8.18308855051004,medium,,,,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Alma,Denison University,Bahlke Field,False,,,,65.90345048387502,39.45946976876379,29.86724778753989,0.0,9.592221981223894,medium,,,,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Bluffton,Albion,Alumni Field (OH),False,73.22,12.6759684,0.0,49.01507171809057,20.24703247539876,26.747613348949976,-0.6908371560000001,-6.500580873551222,medium,,,,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,College Of New Jersey,Wilkes,Lions Stadium,False,77.9,4.6602825,1.8,55.04888309233996,20.972994018222465,31.47913241416169,0.0,-10.50613839593922,medium,,,,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Springfield,Husson,Stagg Field,False,66.02,2.2990727,0.0,59.08291213306922,31.93265812319005,23.389711258935264,0.0,8.542946864254787,medium,,,,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Carnegie Mellon,Wisconsin-Lacrosse,Gesling Stadium,False,70.88,6.337984199999999,0.0,55.286974429370005,25.98851602587851,23.88845139919056,-0.1204185779999999,2.100064626687953,medium,,,,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Kenyon,Wisconsin-Eau Claire,McBride Field,False,63.68,8.3885085,0.5,41.15454192532639,23.45375059062276,19.661935493693527,-0.304965765,3.791815096929231,medium,,,,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Castleton,Norwich,Dave Wolk Stadium,False,,,,44.83765946431729,24.865073674892912,16.686235990775682,0.0,8.17883768411723,medium,,,,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Brockport,Hobart College,Bob Boozer Field,False,,,,45.70138798600831,23.334532497880986,20.825633887318368,0.0,2.508898610562614,medium,,,,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,St John Fisher University,St. Lawrence,Growney Stadium,False,67.1,3.6660889,0.0,43.459548403296765,25.699551279206165,16.186698603496808,0.0,9.512852675709356,medium,,,,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,PennWest California,West Chester,Adamson Stadium,True,71.78,7.7050004,0.0,53.5091103314214,33.31394116011564,21.74443761135164,-0.243450036,11.569503548764004,medium,,,,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Troy,Memphis,Veterans Memorial Stadium (AL),False,80.06,3.8525002,0.0,51.317308900691714,18.62371919580851,33.510783409214184,0.0,-14.887064213405676,medium,62.02,5.75,-0.11,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Seton Hill,Bloomsburg,Offutt Field,True,70.16,4.7224196,0.0,40.23541765980844,21.12833915547572,18.903985780741245,0.0,2.224353374734473,medium,,,,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Millersville,Glenville State,Chryst Field at Biemesderfer Stadium,False,,,,54.02325848624695,19.93255510465332,33.4943853184267,0.0,-13.56183021377338,medium,,,,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Alfred University,Ithaca College,Merrill Field at Yunevich Stadium,False,63.32,5.530201900000001,0.0,51.11005922567064,16.773131357770232,34.56170336635391,-0.047718171,-17.788572008583678,medium,,,,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Dean College,Mass Maritime,Dale Lippert Field,False,,,,30.491233644284616,13.438280807132305,17.162831517888947,0.0,-3.724550710756642,medium,,,,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Hilbert College,Alfred State,St. Francis High School,False,89.6,11.7439119,0.0,44.215640196890185,9.492692650393442,32.965486658762174,-0.606952071,-23.47279400836873,medium,,,,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Findlay,Wayne State (MI),Donnell Stadium,False,71.78,11.2468151,0.0,51.76231107888163,36.08867039018159,13.572156214922192,-0.5622133589999999,22.516514175259395,medium,,,,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Duquesne,Lehigh,Arthur J. Rooney Athletic Field,False,,,,50.96638568997978,33.583070306293806,18.296695944568413,0.0,15.286374361725391,medium,,,,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Cortland,Union (NY),Stadium Red Field,False,,,,57.14041590054587,42.72988660713177,16.13633641803733,0.0,26.59355018909444,medium,,,,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Alabama,Wisconsin,Bryant-Denny Stadium,False,88.34,5.2816535,0.0,53.08152924938309,29.00476600913007,19.40380301541549,-0.025348815,9.600962993714573,medium,82.44,15.88,-1.63,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Kent State,Buffalo,Dix Stadium,True,70.16,9.0098795,0.0,53.56257082834853,20.0649664315908,33.83744720962616,-0.360889155,-13.772480778035362,medium,,,,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Plymouth State,Worcester St,Charles L. Currier Memorial Field,True,,,,41.381058683554656,29.30144152362024,15.755953080742213,0.0,13.545488442878025,medium,,,,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Susquehanna,Bridgewater (VA),Amos Alonzo Stagg Field (PA),False,,,,54.620808736241685,35.50694232271692,25.74294491902468,0.0,9.76399740369224,medium,,,,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Johns Hopkins University,John Carroll University,Homewood Field,False,73.4,6.21371,0.0,55.00327249545059,23.31307658805492,25.902509230116912,-0.1092338999999999,-2.5894326420619933,medium,,,,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,SUNY Morrisville,University of Rochester (NY),Drake Field (NY),False,,,,40.19994526497524,17.09843390893818,24.01850919618703,0.0,-6.920075287248849,medium,,,,False,,,,,
2025,3,2025-09-13 16:00:00+00:00,Baylor,Samford,McLane Stadium,False,80.06,3.4175405,0.0,44.55641912822681,26.73661710685301,20.029017236005803,0.0,6.707599870847215,medium,63.1,6.22,-0.18,False,,,,,
2025,3,2025-09-13 16:45:00+00:00,Auburn,South Alabama,Jordan-Hare Stadium,False,82.04,4.0389115,0.0,52.98288564649175,28.533611360969434,18.4940998340625,0.0,10.039511526906937,medium,71.87,4.0,-0.0,False,,,,,
2025,3,2025-09-13 17:00:00+00:00,SUNY Maritime,Anderson (IN),Reinhart Field,False,76.64,6.337984199999999,0.0,43.524518826098245,28.29725250319505,11.113566162674363,-0.1204185779999999,17.183686340520687,medium,,,,False,,,,,
2025,3,2025-09-13 17:00:00+00:00,Stevenson,Widener,Mustang Stadium,True,76.46,8.7613311,0.0,49.89453462010249,31.66708305252869,22.32423275157294,-0.3385197989999999,9.34285030095575,medium,,,,False,,,,,
2025,3,2025-09-13 17:00:00+00:00,Delaware Valley,Kings College (PA),Robert A. Lipinski Field at James Work Memorial Stadium,True,,,,44.28211192256009,23.21023522984219,20.582319884892367,0.0,2.627915344949823,medium,,,,False,,,,,
2025,3,2025-09-13 17:00:00+00:00,Rowan,Moravian,Richard Wackar Stadium,False,71.6,9.5069763,0.0,48.61697237150084,26.942837995166013,21.21693210921002,-0.405627867,5.725905885955992,medium,,,,False,,,,,
2025,3,2025-09-13 17:00:00+00:00,Montclair State,Lycoming,Hinchliffe Stadium,False,76.1,7.456452,0.0,45.32866755882264,15.03499024300132,27.566374143251885,-0.2210806799999999,-12.531383900250566,medium,,,,False,,,,,
2025,3,2025-09-13 17:00:00+00:00,Franklin & Marshall,Westminster (PA),Shadek Stadium,False,66.56,4.1010486,0.0,52.01512652486363,22.65572501143104,27.077258970720408,0.0,-4.42153395928937,medium,,,,False,,,,,
2025,3,2025-09-13 17:00:00+00:00,Central State (OH),Benedict College,McPherson Memorial Stadium,True,69.25999999999999,7.3321778,0.0,54.89700344108938,14.928485018491594,40.40217358595853,-0.209896002,-25.47368856746693,medium,,,,False,,,,,
2025,3,2025-09-13 17:00:00+00:00,Mars Hill,Carson-Newman College,Meares Stadium,True,61.88,3.9767744,0.1,49.42911159554005,22.73601288250129,24.25662747624006,0.0,-1.5206145937387667,medium,,,,False,,,,,
2025,3,2025-09-13 17:00:00+00:00,Gannon,East Stroudsburg University,McConnell Family Stadium,True,67.1,7.3321778,0.0,37.78523784019109,17.91063163983646,23.45888663935514,-0.209896002,-5.548254999518679,medium,,,,False,,,,,
2025,3,2025-09-13 17:00:00+00:00,Trinity (CT),Colby College,Jessee/Miller Field,True,70.7,2.4233469,0.0,54.70712173531103,43.28300347567706,12.55090891697572,0.0,30.73209455870134,medium,,,,False,,,,,
2025,3,2025-09-13 17:00:00+00:00,Clarion,Shippensburg,"Memorial Stadium (Clarion, PA)",True,65.84,4.1631857000000005,0.0,41.51205268353931,16.973371591963396,22.49573950191704,0.0,-5.5223679099536405,medium,,,,False,,,,,
2025,3,2025-09-13 17:00:00+00:00,Wesleyan University (CT),Middlebury,Corwin Stadium,True,73.94,8.5749198,0.0,44.33295099052429,19.213919680592863,23.57927055689419,-0.321742782,-4.365350876301328,medium,,,,False,,,,,
2025,3,2025-09-13 17:00:00+00:00,UNC Pembroke,Delta State,Grace P. Johnson Stadium,False,78.62,9.0720166,0.0,58.71489264912046,29.86430602754728,27.8561275558922,-0.3664814939999999,2.0081784716550786,medium,,,,False,,,,,
2025,3,2025-09-13 17:00:00+00:00,Elizabeth City State,Johnson C Smith,Roebuck Stadium,True,70.16,10.6254441,0.0,49.56651919484846,20.90705250696413,27.57677418841754,-0.5062899689999999,-6.66972168145341,medium,,,,False,,,,,
2025,3,2025-09-13 17:00:00+00:00,Bates,Amherst,Garcelon Field,True,65.3,4.2253228,0.0,43.24806407370634,21.27520487739645,20.131834293812336,0.0,1.1433705835841188,medium,,,,False,,,,,
2025,3,2025-09-13 17:00:00+00:00,Truman State,Davenport,Stokes Stadium,False,64.4,2.3612098,0.4,49.95345188537032,27.086314473200773,19.765691164172324,0.0,7.320623309028448,medium,,,,False,,,,,
2025,3,2025-09-13 17:00:00+00:00,Post University,Southern Connecticut State,Municipal Stadium,True,75.92,6.835081,0.0,47.80206504498207,21.10704070881185,27.56231381588299,-0.1651572899999999,-6.45527310707114,medium,,,,False,,,,,
2025,3,2025-09-13 17:00:00+00:00,Hillsdale,Michigan Tech,"Frank ""Muddy"" Waters Stadium",False,,,,46.97218425610244,24.578378993952725,23.43580730972136,0.0,1.1425716842313631,medium,,,,False,,,,,
2025,3,2025-09-13 17:00:00+00:00,Edinboro University,Kutztown University,Sox Harrison Stadium,True,65.84,9.7555247,0.0,37.63325314242939,11.08022254189924,30.70128349745948,-0.427997223,-19.62106095556024,medium,,,,False,,,,,
2025,3,2025-09-13 17:00:00+00:00,Delaware State,Bowie State,Alumni Stadium,False,69.08,5.7787503000000005,0.0,52.99918739606044,16.713770381677847,36.8103641415505,-0.070087527,-20.09659375987265,medium,,,,False,,,,,
2025,3,2025-09-13 17:00:00+00:00,Juniata College,Allegheny,Knox Stadium,False,,,,39.34045844468903,17.8352733700172,22.801799919008545,0.0,-4.966526548991343,medium,,,,False,,,,,
2025,3,2025-09-13 17:00:00+00:00,Gettysburg,Christopher Newport,Shirk Field at Musselman Stadium,False,,,,54.33139424580255,18.348193122657605,32.114668635702856,0.0,-13.76647551304525,medium,,,,False,,,,,
2025,3,2025-09-13 17:00:00+00:00,Ursinus,Kean,Patterson Field,False,,,,53.6540091848121,48.755651369578935,8.402156856086131,0.0,40.353494513492805,medium,,,,False,,,,,
2025,3,2025-09-13 17:00:00+00:00,Manchester,Concordia University Chicago,Carl W. Burt Memorial Stadium,False,,,,42.57386967387578,15.162639481472551,27.14752281871426,0.0,-11.98488333724171,medium,,,,False,,,,,
2025,3,2025-09-13 17:00:00+00:00,Mount St. Joseph,Aurora,Schueler Field,False,,,,71.11409723553005,31.15247948598114,40.738472154438384,0.0,-9.585992668457244,medium,,,,False,,,,,
2025,3,2025-09-13 17:00:00+00:00,Adrian,Thiel,Docking Stadium,False,,,,50.6554070981518,33.641215298738736,12.279486627464095,0.0,21.36172867127464,medium,,,,False,,,,,
